gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
686479654	1d04e739-98a9-4e16-9970-8f8f3bf9e9e3	8fbaa6d4-1ed8-11e3-bfac-90b11c41863e	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Ailuropoda	Ailuropoda melanoleuca		SPECIES	Ailuropoda melanoleuca (David, 1869)	Ailuropoda melanoleuca		CN	WENCHUAN, NEAR; UPPER MIN RIVER	Sichuan	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	31.4657075	103.5831794							1943-07-01	1	7	1943	2433399	2433399	PRESERVED_SPECIMEN	KU	KUM	152537				CC_BY_4_0		Unknown			2025-11-05T02:25:27.688Z		COORDINATE_REPROJECTED
665916254	41fc5c40-5e81-496f-9733-6b5681b3b7a5	41a25d9b-97a6-416c-95bc-33ccd999c9fe	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Ailuropoda	Ailuropoda melanoleuca		SPECIES	Ailuropoda melanoleuca (David, 1869)	Ailuropoda melanoleuca		CN	Gin Da Chou	Sichuan	PRESENT	1	7b8aff00-a9f8-11d8-944b-b8a03c50a862	31.333334	103.75							1932-06		6	1932	2433399	2433399	PRESERVED_SPECIMEN	FMNH	Mammals	39514	6			CC0_1_0	The Field Museum of Natural History	F. T. Smith			2025-11-05T00:45:40.173Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
665915062	41fc5c40-5e81-496f-9733-6b5681b3b7a5	df388372-311c-483c-b1ea-05c3c81cdaf8	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Ailuropoda	Ailuropoda melanoleuca		SPECIES	Ailuropoda melanoleuca (David, 1869)	Ailuropoda melanoleuca		CN	Lolo, Yehli	Sichuan	PRESENT	1	7b8aff00-a9f8-11d8-944b-b8a03c50a862	28.833334	102.333336											2433399	2433399	PRESERVED_SPECIMEN	FMNH	Mammals	31131				CC0_1_0	The Field Museum of Natural History	Kelley-Roosevelts Expedition			2025-11-05T00:45:38.021Z		COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
665915061	41fc5c40-5e81-496f-9733-6b5681b3b7a5	d8165957-785b-4ea6-b6b5-77b1176b8ad6	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Ailuropoda	Ailuropoda melanoleuca		SPECIES	Ailuropoda melanoleuca (David, 1869)	Ailuropoda melanoleuca		CN	Lolo, Yehli	Sichuan	PRESENT	1	7b8aff00-a9f8-11d8-944b-b8a03c50a862	28.833334	102.333336							1929-04-13	13	4	1929	2433399	2433399	PRESERVED_SPECIMEN	FMNH	Mammals	31130				CC0_1_0	The Field Museum of Natural History	Kelley-Roosevelts Expedition			2025-11-05T00:45:38.432Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
665915060	41fc5c40-5e81-496f-9733-6b5681b3b7a5	a5f347b9-738a-4fd0-b02a-932770376abf	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Ailuropoda	Ailuropoda melanoleuca		SPECIES	Ailuropoda melanoleuca (David, 1869)	Ailuropoda melanoleuca		CN	Lolo, Yehli	Sichuan	PRESENT	1	7b8aff00-a9f8-11d8-944b-b8a03c50a862	28.833334	102.333336							1929-04-13	13	4	1929	2433399	2433399	PRESERVED_SPECIMEN	FMNH	Mammals	31129				CC0_1_0	The Field Museum of Natural History	Kelley-Roosevelts Expedition			2025-11-05T00:45:40.562Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
665806605	41fc5c40-5e81-496f-9733-6b5681b3b7a5	bcdf2bc0-edbe-46de-aee2-cfeaf7344d16	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Ailuropoda	Ailuropoda melanoleuca		SPECIES	Ailuropoda melanoleuca (David, 1869)	Ailuropoda melanoleuca		CN	Dun Shih Goh, above Baoxing	Sichuan	PRESENT	1	7b8aff00-a9f8-11d8-944b-b8a03c50a862	30.416666	102.833336							1931-05-27	27	5	1931	2433399	2433399	PRESERVED_SPECIMEN	FMNH	Mammals	36758	s15			CC0_1_0	The Field Museum of Natural History	F. T. Smith			2025-11-05T00:45:41.452Z		COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
665803568	41fc5c40-5e81-496f-9733-6b5681b3b7a5	083a18b4-ee8d-405b-93fb-64eec44c4e0a	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Ailuropoda	Ailuropoda melanoleuca		SPECIES	Ailuropoda melanoleuca (David, 1869)	Ailuropoda melanoleuca		CN	Paohing (Baoxing)	Sichuan	PRESENT	1	7b8aff00-a9f8-11d8-944b-b8a03c50a862	30.416666	102.666664							1930			1930	2433399	2433399	PRESERVED_SPECIMEN	FMNH	Mammals	34258				CC0_1_0	The Field Museum of Natural History	L. R. Crook			2025-11-05T00:45:41.938Z		COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
665800423	41fc5c40-5e81-496f-9733-6b5681b3b7a5	0eabb3bd-214f-4da5-9b87-7609e4ae3b66	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Ailuropoda	Ailuropoda melanoleuca		SPECIES	Ailuropoda melanoleuca (David, 1869)	Ailuropoda melanoleuca		CN	Lolo, Yehli	Sichuan	PRESENT	1	7b8aff00-a9f8-11d8-944b-b8a03c50a862	28.833334	102.333336											2433399	2433399	PRESERVED_SPECIMEN	FMNH	Mammals	31133				CC0_1_0	The Field Museum of Natural History	Kelley-Roosevelts Expedition			2025-11-05T00:45:32.070Z		COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
665800422	41fc5c40-5e81-496f-9733-6b5681b3b7a5	85318a2f-2cfe-45fb-bc8a-d4e7ed394c73	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Ailuropoda	Ailuropoda melanoleuca		SPECIES	Ailuropoda melanoleuca (David, 1869)	Ailuropoda melanoleuca		CN	Lolo, Yehli	Sichuan	PRESENT	1	7b8aff00-a9f8-11d8-944b-b8a03c50a862	28.833334	102.333336											2433399	2433399	PRESERVED_SPECIMEN	FMNH	Mammals	31132				CC0_1_0	The Field Museum of Natural History	Kelley-Roosevelts Expedition			2025-11-05T00:45:28.894Z		COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
665800421	41fc5c40-5e81-496f-9733-6b5681b3b7a5	8a4973a5-28e9-4d18-8fd0-7c3a6cfb69f6	Animalia	Chordata	Mammalia	Carnivora	Ursidae	Ailuropoda	Ailuropoda melanoleuca		SPECIES	Ailuropoda melanoleuca (David, 1869)	Ailuropoda melanoleuca		CN	Lolo, Yehli	Sichuan	PRESENT	1	7b8aff00-a9f8-11d8-944b-b8a03c50a862	28.833334	102.333336							1929-04-13	13	4	1929	2433399	2433399	PRESERVED_SPECIMEN	FMNH	Mammals	31128				CC0_1_0	The Field Museum of Natural History	Kelley-Roosevelts Expedition			2025-11-05T00:45:29.229Z		COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
